Ville,prixMoyenProduits,fraisMoyen
araguaina,200.0863414634146,40.124146341463415
flora rica,200.0,37.26
guimaraes,199.99,52.12
dois irmaos,199.92705882352942,26.391764705882352
picos,199.92,55.28333333333333
bom jesus do sul,199.9,45.2
uirauna,199.9,85.46
bom jesus do amparo,199.89,18.65
macau,199.776,59.762
nova andradina,199.53363636363636,30.24363636363636
vere,199.46333333333334,73.27666666666666
sao miguel do gostoso,199.45,37.07
mangueirinha,199.4077777777778,25.36333333333333
itabaiana,199.104375,46.499375
batatais,199.1,20.836071428571426
pouso redondo,199.09666666666666,19.326666666666664
santa rosa do sul,199.0,19.27
palminopolis,199.0,38.94
lagoa de velhos,199.0,35.19
curral de cima,199.0,0.0
alto alegre do pindare,199.0,60.56
calcado,199.0,24.54
capitao andrade,199.0,0.0
galia,199.0,18.64
andrequice,199.0,16.14
fontoura xavier,199.0,15.16
macuco de minas,199.0,16.14
morro da garca,199.0,28.14
francisco dantas,198.9,25.88
fagundes,198.9,21.84
rio pomba,198.81000000000003,45.333333333333336
bertioga,198.34479166666665,22.293125000000003
mira estrela,198.0,15.56
seringueiras,197.995,54.325
erval grande,197.95,18.419999999999998
lavras do sul,197.9333333333333,17.58666666666667
timbo,197.8835,25.5225
capinzal do norte,197.5,32.8
general maynard,197.5,20.35
nova esperanca,197.47250000000003,22.585
varzea da palma,197.43363636363637,24.472727272727276
tabira,197.376,38.402
porto nacional,197.20999999999998,41.712500000000006
santa barbara,196.85423076923078,29.68307692307692
ampere,196.63,24.03111111111111
cachoeira do sul,196.51000000000002,29.221562499999997
tarabai,196.47,38.410000000000004
coronel joao sa,195.99666666666667,33.906666666666666
conceicao do formoso,195.99,19.25
santo estevao,195.962,49.376000000000005
cachoeira do brumado,195.9,15.27
divinolandia,195.81142857142854,16.031428571428574
itabera,195.16285714285712,22.405714285714286
manoel urbano,194.99,53.72
campo alegre do fidalgo,194.98,68.96
alto parana,194.95,30.97
raposo,194.9,22.046666666666667
eugenopolis,194.774,19.503999999999998
arapongas,194.64588235294116,25.351176470588236
ipaporanga,194.45,32.455
uchoa,194.21333333333334,19.55
marco,194.20000000000002,58.053333333333335
fraiburgo,193.96928571428572,24.082142857142856
tarumirim,193.8725,34.19
florai,193.695,17.78
malacacheta,193.66428571428574,49.50857142857143
capela,193.64666666666665,102.74333333333334
para de minas,193.56972972972972,22.50027027027027
jaqueira,192.99666666666667,33.39333333333334
vicentinopolis,192.39999999999998,17.875
reserva do cabacal,191.95,28.490000000000002
planaltino,191.8,62.64
salto do lontra,191.6225,33.405
aguas vermelhas,191.52666666666667,39.43666666666667
sao pedro dos ferros,190.9475,27.985
bom jesus,190.94714285714286,41.04071428571428
santana do deserto,190.9,16.09
morretes,190.745,21.485
sao joao dos patos,190.44000000000003,40.34142857142857
igarape,190.42600000000002,29.783000000000005
caceres,190.0076,36.73479999999999
virgolandia,190.0,16.72
irape,189.99,24.66
moema,189.99,24.13
botelho,189.98,75.06
anadia,189.945,41.355000000000004
ressaquinha,189.9,39.17
berizal,189.9,32.08
sao bernardino,189.9,18.58
vicentina,189.9,26.17
rio branco,189.7054054054054,41.736756756756755
casca,189.46714285714285,43.23857142857143
alfredo vasconcelos,189.33,16.25
piracanjuba,189.32599999999996,31.814
mata grande,189.32500000000002,45.35
bom sucesso,189.31799999999998,31.177999999999997
caetite,189.23,40.815
camacan,189.11166666666668,22.455000000000002
santo antonio do planalto,189.0,32.07
curvelandia,189.0,54.78
tururu,189.0,26.6
carbonita,188.9675,21.3125
curralinho,188.76,166.53
chapada dos guimaraes,188.7,24.995
apiuna,188.65714285714284,23.457142857142856
rondonopolis,188.35446153846152,28.65523076923077
lambari,188.30874999999997,23.305
hidreletrica tucurui,188.26,52.23333333333334
erere,188.0,38.23
bugre,187.9,21.4
linhares,187.86784615384616,32.544615384615376
paracambi,187.77028571428573,26.979142857142858
barra de sao joao,187.75769230769234,30.348461538461535
casa nova,187.69833333333335,23.891666666666666
birigui,187.32487179487177,25.839615384615392
ilhota,187.28500000000003,32.02
varjota,187.2425,38.052499999999995
natividade,187.20437500000003,32.621875
auriflama,187.16600000000003,15.810999999999998
chapada do norte,186.95,18.985
nova friburgo,186.83259999999996,23.734600000000007
itapui,186.72714285714287,17.685714285714283
sao valentim,185.96333333333334,17.19333333333333
jatai,185.93277777777777,24.029074074074074
ibiai,185.63,44.35333333333333
butia,185.44833333333335,27.538333333333327
tres rios,185.32102564102564,21.973589743589745
neropolis,185.31714285714287,23.82857142857143
sao joao nepomuceno,185.28571428571428,35.295
mococa,185.1755882352941,23.89970588235294
morro agudo,185.095,31.257999999999992
glicerio,184.995,26.7875
bandeirantes do tocantins,184.99,31.11
antonio cardoso,184.945,35.015
altaneira,184.8,63.33
pindorama,184.45,18.310000000000002
quitandinha,184.45,18.095
