Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,nbVendeurs,latitudeVille,longitudeVille,Etat,nbVendeursParCommande
cariacica,139,127.3520289855072,21.878043478260874,4.01418439716312,2,-20.330278597042394,-40.383426912955926,Espírito Santo,0.014388489208633094
marica,139,113.55768115942027,20.938913043478262,3.893617021276596,1,-22.927070740029524,-42.866088849611636,Rio de Janeiro,0.007194244604316547
divinopolis,137,261.49459259259254,25.855333333333334,4.124087591240876,8,-20.144553923366622,-44.88919731558963,Minas Gerais,0.058394160583941604
rio das ostras,137,149.03463235294114,26.169926470588237,3.6350364963503647,"",-22.51402632392653,-41.938722445730065,Rio de Janeiro,""
itu,136,94.12614814814813,14.896666666666668,4.213235294117647,4,-23.286022429648412,-47.30328085446804,São Paulo,0.029411764705882353
jaboatao dos guararapes,135,158.55674074074065,31.61259259259259,3.948148148148148,"",-8.155733539576072,-34.94990359544573,Pernambuco,""
sao joao de meriti,134,142.39575757575753,24.27931818181818,3.6791044776119404,3,-22.78612646434462,-43.36984637905677,Rio de Janeiro,0.022388059701492536
sao jose dos pinhais,133,115.45076335877859,20.148015267175573,4.007518796992481,1,-25.53094627920345,-49.175290814529696,Paraná,0.007518796992481203
sao jose dos pinhais,133,115.45076335877859,20.148015267175573,4.007518796992481,9,-25.53094627920345,-49.175290814529696,Paraná,0.06766917293233082
pouso alegre,131,163.14664122137398,21.551145038167945,4.052631578947368,1,-22.23628738442873,-45.93097049415967,Minas Gerais,0.007633587786259542
paulinia,130,129.1371317829457,16.528294573643414,4.166666666666667,4,-22.765232498134225,-47.158572746889256,São Paulo,0.03076923076923077
sete lagoas,128,136.2862204724409,23.078503937007877,4.2846153846153845,4,-19.456922662275907,-44.23993688925751,Minas Gerais,0.03125
rio grande,125,133.19983870967738,23.658951612903227,4.024,1,-32.07091373894832,-52.130616381249475,Rio Grande do Sul,0.008
novo hamburgo,123,162.68098360655733,25.288852459016393,4.016129032258065,6,-29.690185125405044,-51.12251257508262,Rio Grande do Sul,0.04878048780487805
barra mansa,123,166.0079338842975,24.428429752066116,3.845528455284553,4,-22.541153347532756,-44.171692237731015,Rio de Janeiro,0.032520325203252036
pocos de caldas,122,144.4567226890756,23.745210084033616,3.9672131147540983,5,-21.797117923016827,-46.564244268316585,Minas Gerais,0.040983606557377046
cachoeiro de itapemirim,122,131.17049586776858,27.270991735537198,3.879032258064516,4,-20.846480708091182,-41.126185329481075,Espírito Santo,0.03278688524590164
teresopolis,120,143.82596638655457,26.479579831932778,3.941666666666667,2,-22.416165206008674,-42.96601614632327,Rio de Janeiro,0.016666666666666666
itajai,120,161.2380833333333,23.15333333333334,4.0,2,-26.908681805460116,-48.681899966116546,Santa Catarina,0.016666666666666666
itajai,120,161.2380833333333,23.15333333333334,4.0,8,-26.908681805460116,-48.681899966116546,Santa Catarina,0.06666666666666667
santa barbara d'oeste,119,110.78033898305087,16.169915254237285,4.352941176470588,4,-22.749004398277716,-47.39436424870086,São Paulo,0.03361344537815126
cabo frio,117,148.12646551724137,24.961637931034485,3.606837606837607,"",-22.854990833265287,-42.026170513761414,Rio de Janeiro,""
resende,117,115.7713675213675,25.22623931623932,3.8632478632478633,1,-22.47122312075811,-44.46082035290081,Rio de Janeiro,0.008547008547008548
anapolis,113,153.3908928571428,26.051160714285714,4.079646017699115,3,-16.32642881460754,-48.948840165919,Goiás,0.02654867256637168
porto velho,113,201.27091743119266,38.379724770642206,3.9911504424778763,1,-8.772896534903744,-63.898605375630005,Rondônia,0.008849557522123894
passo fundo,113,134.71867256637165,26.02353982300885,4.176991150442478,"",-28.263963126028308,-52.454514140431755,Rio Grande do Sul,""
gravatai,112,170.62517857142853,23.297678571428577,4.169642857142857,"",-29.932412057713993,-51.01846072142388,Rio Grande do Sul,""
mage,111,145.82567567567563,23.20630630630631,4.0,1,-22.638046174252487,-43.12607126337052,Rio de Janeiro,0.009009009009009009
belford roxo,111,125.52207207207205,23.597927927927934,3.5982142857142856,2,-22.73723765866894,-43.38429246281137,Rio de Janeiro,0.018018018018018018
ferraz de vasconcelos,111,142.05657657657656,16.824324324324323,4.243243243243243,3,-23.54129618306675,-46.37365761171487,São Paulo,0.02702702702702703
aparecida de goiania,110,132.3132727272727,22.161636363636365,4.027272727272727,1,-16.777094163599212,-49.27556867811581,Goiás,0.00909090909090909
palmas,110,181.1236697247706,40.43862385321101,4.054054054054054,"",-10.215255592679853,-48.32575133729766,Tocantins,""
palmas,110,181.1236697247706,40.43862385321101,4.054054054054054,"",-26.485010427834766,-51.99006235031652,Paraná,""
