nbPaiements,montant,nbPaiementPrediction,id
3.0,155.03,3.4792480386837155,545
2.0,77.84,3.0733752063173765,546
1.0,58.41,2.971210299815524,547
3.0,281.3,4.1431884784155155,548
3.0,65.09,3.0063344158954197,549
1.0,22.1,2.780288644896211,550
1.0,81.39,3.0920414656113326,551
1.0,6.7,2.699313886268907,552
3.0,140.44,3.402532342036159,553
3.0,116.85,3.2784937345025154,554
1.0,32.7,2.8360245177176022,555
1.0,137.18,3.3853909320929763,556
1.0,76.85,3.068169686119907,557
1.0,47.53,2.9140021586554545,558
3.0,142.31,3.412364991298046,559
6.0,325.33,4.3747026746726725,560
4.0,42.77,2.888973596897924,561
10.0,120.05,3.295319658373124,562
9.0,151.87,3.4626324388614895,563
3.0,59.18,2.9752590377468895,564
3.0,86.55,3.1191732678526893,565
1.0,38.42,2.8661008566363155,566
8.0,89.19,3.1330546550459415,567
3.0,340.24,4.453100963707289,568
1.0,18.38,2.7607285083966286,569
8.0,564.4,5.631756930843428,570
2.0,100.23,3.1911040923995415,571
1.0,63.73,2.999183398250411,572
6.0,165.31,3.533301319118046,573
4.0,303.02,4.257394436687272,574
1.0,174.15,3.5797829338106024,575
1.0,252.0,3.9891261129752547,576
5.0,178.27,3.601446310794011,577
3.0,38.93,2.868782488253194,578
1.0,53.1,2.943289782392733,579
2.0,184.7,3.6352559015715156,580
3.0,77.97,3.0740587594746196,581
10.0,1384.73,9.945135096086064,582
1.0,66.06,3.011434774068698,583
8.0,747.17,6.592780088915664,584
10.0,512.88,5.360859556526629,585
6.0,153.36,3.4704670096637416,586
2.0,104.08,3.2113477820563676,587
1.0,80.67,3.088255632740446,588
4.0,43.09,2.890656189284985,589
2.0,99.22,3.1857934101778804,590
3.0,266.5,4.06536858051395,591
2.0,64.1,3.00112889569795,592
1.0,42.41,2.8870806804624807,593
2.0,24.1,2.7908048473153415,594
1.0,131.01,3.352948447629959,595
5.0,117.37,3.281227947131489,596
1.0,61.6,2.9879836426740374,597
1.0,190.37,3.6650693354297506,598
1.0,121.87,3.304889402574533,599
2.0,163.02,3.5212602673481417,600
1.0,46.04,2.9061675878532025,601
1.0,14.06,2.7380135111713066,602
3.0,344.86,4.477393391295481,603
2.0,48.75,2.920417042131124,604
3.0,283.32,4.153809842858838,605
3.0,65.1,3.006386996907515,606
8.0,232.03,3.884121831820237,607
1.0,63.22,2.996501766633533,608
1.0,144.79,3.4254050822977677,609
1.0,99.34,3.1864243823230285,610
1.0,52.53,2.9402926647032808,611
1.0,81.24,3.091252750429898,612
3.0,178.93,3.604916657592324,613
1.0,78.2,3.07526812275282,614
1.0,48.29,2.917998315574724,615
5.0,1259.04,9.284244355055812,616
3.0,128.65,3.3405393287753853,617
1.0,73.13,3.0486095496203243,618
8.0,156.63,3.4876610006190196,619
1.0,32.96,2.8373916240320893,620
1.0,43.17,2.89107683738175,621
6.0,683.97,6.260468092471141,622
5.0,496.44,5.274416372641376,623
1.0,78.88,3.078843631575324,624
3.0,31.0,2.8270857456613414,625
4.0,99.22,3.1857934101778804,626
3.0,44.08,2.8958617094824546,627
3.0,206.51,3.7499350889521326,628
2.0,121.69,3.303942944356811,629
3.0,83.41,3.1026628300546544,630
3.0,256.43,4.012419501333628,631
1.0,105.04,3.2163955592175504,632
4.0,254.14,4.0003784495637245,633
1.0,110.86,3.24699770825722,634
1.0,35.24,2.849380094789898,635
1.0,14.78,2.7417993440421937,636
2.0,110.01,3.2425283222290893,637
2.0,128.2,3.3381731832310804,638
4.0,239.01,3.9208233782630026,639
3.0,129.66,3.345850010997046,640
8.0,352.34,4.516723988343029,641
2.0,41.48,2.882190646337585,642
4.0,94.72,3.162131954734837,643
3.0,195.4,3.6915175845138632,644
1.0,45.19,2.901698201825072,645
1.0,72.42,3.0448762977615327,646
1.0,24.38,2.7922771156540196,647
2.0,144.58,3.424300881043759,648
3.0,133.06,3.3637275551095676,649
1.0,118.62,3.287800573643446,650
1.0,165.8,3.535877788710733,651
8.0,406.74,4.802764694143376,652
2.0,145.15,3.427297998733211,653
1.0,19.07,2.7643565982312284,654
6.0,68.22,3.0227922726813587,655
5.0,149.13,3.4482252415472807,656
2.0,44.65,2.8988588271719067,657
2.0,117.53,3.2820692433250196,658
1.0,41.16,2.880508053950524,659
3.0,91.05,3.1428347232957328,660
2.0,59.01,2.974365160541263,661
3.0,100.82,3.194206372113185,662
1.0,50.09,2.9274628977519415,663
3.0,39.52,2.8718847679668373,664
1.0,130.26,3.349004871722785,665
2.0,175.11,3.584830710971785,666
6.0,69.24,3.0281555359151153,667
4.0,303.72,4.2610751075339675,668
5.0,114.76,3.2675043029745243,669
4.0,312.61,4.307819627287003,670
10.0,227.68,3.8612490915586286,671
5.0,155.14,3.4798264298167676,672
2.0,102.85,3.2048803175686023,673
4.0,130.1,3.3481635755292545,674
1.0,135.51,3.3766099030730024,675
4.0,42.27,2.8863445462931416,676
4.0,128.05,3.337384468049646,677
6.0,64.53,3.003389879218063,678
5.0,134.2,3.3697217904884718,679
1.0,36.01,2.853428832721263,680
6.0,896.24,7.376605236225551,681
3.0,36.85,2.857845637737298,682
4.0,62.65,2.9935046489440804,683
5.0,55.22,2.9544369569570113,684
3.0,273.88,4.104173367440541,685
1.0,29.1,2.8170953533631677,686
1.0,144.12,3.421882154487359,687
3.0,152.38,3.4653140704783674,688
1.0,102.74,3.20430192643555,689
2.0,209.27,3.7644474482905332,690
2.0,154.28,3.4753044627765415,691
1.0,69.25,3.0282081169272113,692
4.0,166.61,3.5401368506904807,693
1.0,3.14,2.6805950459628547,694
4.0,102.03,3.200568674576759,695
10.0,278.66,4.129307091222263,696
6.0,328.17,4.389635682107837,697
1.0,40.95,2.8794038526965156,698
2.0,163.73,3.524993519206933,699
4.0,147.99,3.4422310061683765,700
10.0,519.72,5.396824968800055,701
3.0,217.06,3.8054080567130457,702
3.0,91.35,3.1444121536586023,703
1.0,231.33,3.8804411609735414,704
