geolocation_city,latitudeVille,longitudeVille,Etat
américo brasiliense,-21.73493972579475,-48.1099810149176,São Paulo
américo de campos,-20.297990800863584,-49.733959948663376,São Paulo
ana dias,-24.303711041917182,-47.066068664780154,São Paulo
anadia,-9.684047221479462,-36.30329345457926,Alagoas
anage,-14.611423342423128,-41.136312128144475,Bahia
anagé,-14.610797833111864,-41.13701921768496,Bahia
anahy,-24.644865290669706,-53.13371122383854,Paraná
anajas,-1.0043124828655856,-49.92184596497755,Pará
anajatuba,-3.2657824748273385,-44.61562673124349,Maranhão
anajás,-0.9844708415587738,-49.93890235637042,Pará
analandia,-22.12448307795462,-47.66233977037924,São Paulo
anama,-3.5791632887343816,-61.4047788174341,Amazonas
ananas,-6.370023441915632,-48.07261494935044,Tocantins
ananindeua,-1.3664682374065154,-48.40141600314842,Pará
ananás,-6.365802118433749,-48.075497185073445,Tocantins
anapolis,-16.32642881460754,-48.948840165919,Goiás
anapu,-3.463680923180654,-51.20704963716403,Pará
anapurus,-3.674193550936725,-43.11039673415855,Maranhão
anastacio,-20.494161788265725,-55.80130487487029,Mato Grosso do Sul
anastácio,-20.487000566820704,-55.806336732309404,Mato Grosso do Sul
anaurilandia,-22.18349362904216,-52.71771123924639,Mato Grosso do Sul
anaurilândia,-22.184245074888018,-52.7191892128821,Mato Grosso do Sul
anchieta,-20.80037808685989,-40.64884981550936,Espírito Santo
anchieta,-26.53662393358683,-53.33140901036453,Santa Catarina
andarai,-12.777115285366511,-41.27650549536144,Bahia
andaraí,-12.814760684428,-41.32804859966593,Bahia
andira,-23.04841133221882,-50.22989397409511,Paraná
andirá,-23.04742637844343,-50.2348855238697,Paraná
andorinha,-10.344702161161972,-39.830618762669246,Bahia
andradas,-22.07047143353818,-46.57354819165934,Minas Gerais
andrade pinto,-22.239158249094665,-43.42344680674862,Rio de Janeiro
andradina,-20.899218031973824,-51.377380577639826,São Paulo
andre da rocha,-28.63235819903258,-51.573247145680746,Rio Grande do Sul
andrelandia,-21.739488547871638,-44.30983691863981,Minas Gerais
andrelândia,-21.74221397669204,-44.311909773258705,Minas Gerais
andrequice,-18.25622999999996,-45.06661999999994,Minas Gerais
andré da rocha,-28.633323952779627,-51.573692583003904,Rio Grande do Sul
angatuba,-23.495674840075946,-48.407068394255774,São Paulo
angelandia,-17.728946293657646,-42.27073170474983,Minas Gerais
angelica,-22.15469316484538,-53.77847188256762,Mato Grosso do Sul
angelim,-8.889457801054395,-36.284772829105734,Pernambuco
angelina,-27.582060072304067,-48.98438664013938,Santa Catarina
angelândia,-17.72918272096108,-42.26919778724728,Minas Gerais
angical,-12.006384427285658,-44.698162626990054,Bahia
angical do piaui,-6.077160299486864,-42.73579835439659,Piauí
angical do piauí,-6.0902049442562705,-42.738079875812794,Piauí
angico,-6.392815765591841,-47.866107210266165,Tocantins
angicos,-5.666031716304029,-36.60327364407801,Rio Grande do Norte
angra dos reis,-22.99505330727889,-44.35328502084302,Rio de Janeiro
anguera,-12.150285458856345,-39.245960093032245,Bahia
anguereta,-19.14045895574384,-44.656343884728464,Minas Gerais
angulo,-23.19322532766664,-51.91582932491551,Paraná
angustura,-21.868313548258158,-42.698740442406134,Minas Gerais
angélica,-22.158754150920615,-53.77629156972292,Mato Grosso do Sul
anhandui,-20.981461451885522,-54.503718322956225,Mato Grosso do Sul
anhanguera,-18.339832546002228,-48.21937149616647,Goiás
anhembi,-22.79055313296728,-48.12922837263561,São Paulo
anhumas,-22.296126146139574,-51.38700497454492,São Paulo
anicuns,-16.459840612028366,-49.96081462896285,Goiás
anisio de abreu,-9.186196771845553,-43.04891895070124,Piauí
anita garibaldi,-27.687250757458745,-51.128367966768735,Santa Catarina
anitapolis,-27.90431811708314,-49.12870759259421,Santa Catarina
anitápolis,-27.903363640614533,-49.1279992272229,Santa Catarina
anori,-3.7454147776740614,-61.658785623085464,Amazonas
anta,-22.232203929300233,-43.05266133211299,Rio de Janeiro
anta gorda,-28.972099031430492,-52.00750426344918,Rio Grande do Sul
antas,-10.411637869766947,-38.327277843128506,Bahia
antonina,-25.434704439196352,-48.7127535418243,Paraná
antonina do norte,-6.775232323102792,-39.988140212898365,Ceará
antonio almeida,-7.221787053150548,-44.1941006414621,Piauí
antonio cardoso,-12.437804546717423,-39.120387808882356,Bahia
antonio carlos,-21.316363654936854,-43.75121311393572,Minas Gerais
antonio carlos,-27.517499927594418,-48.76646989554005,Santa Catarina
antonio dias,-19.645957369834644,-42.86753891487179,Minas Gerais
antonio goncalves,-10.57302558573597,-40.27582765702755,Bahia
antonio joao,-22.190946773341075,-55.94915118985083,Mato Grosso do Sul
antonio martins,-6.213919064448228,-37.89910224097036,Rio Grande do Norte
antonio olinto,-25.986104950861993,-50.199083172202755,Paraná
antonio pereira,-20.283938203663602,-43.481873587460164,Minas Gerais
antonio prado,-28.85721477799151,-51.28458915711346,Rio Grande do Sul
antonio prado de minas,-21.012742396079165,-42.121740926437454,Minas Gerais
antunes,-19.907807842506607,-44.698242198322056,Minas Gerais
antunes (igaratinga),-19.952891167464596,-44.705766537509696,Minas Gerais
antônio almeida,-7.218767606910639,-44.19612938299576,Piauí
antônio cardoso,-12.437357096028908,-39.1206630345722,Bahia
antônio carlos,-21.342634327491034,-43.755896674920834,Minas Gerais
antônio carlos,-27.511549602623653,-48.78312669952821,Santa Catarina
antônio dias,-19.646763516793058,-42.86376361737888,Minas Gerais
antônio gonçalves,-10.567980916052049,-40.27579671319823,Bahia
antônio joão,-22.189572460158054,-55.94924428871426,Mato Grosso do Sul
antônio martins,-6.215480534391254,-37.88836920759543,Rio Grande do Norte
antônio olinto,-25.925960999999944,-50.133603499999964,Paraná
antônio pereira,-20.302851650036125,-43.480192602708854,Minas Gerais
antônio prado,-28.854640909218407,-51.28150487705432,Rio Grande do Sul
antônio prado de minas,-21.01891842019032,-42.110280183571945,Minas Gerais
anápolis,-16.327249365651344,-48.94869596705718,Goiás
aparecida,-22.85123122560903,-45.24664690995328,São Paulo
aparecida,-6.78581814474845,-38.08345851472345,Paraïba
aparecida d oeste,-20.450816726968945,-50.88286949879962,São Paulo
aparecida d'oeste,-20.454283404365263,-50.88282453060895,São Paulo
aparecida de goiania,-16.777094163599212,-49.27556867811581,Goiás
aparecida de goiânia,-16.778499672264875,-49.27678827746013,Goiás
aparecida de minas,-18.867062763128185,-48.264116980102976,Minas Gerais
aparecida de monte alto,-21.595332856177265,-48.12446105412283,São Paulo
aparecida de sao manuel,-22.73053188890062,-48.61471361851714,São Paulo
aparecida de são manuel,-22.733591606447433,-48.5945885586694,São Paulo
aparecida do rio doce,-18.28854874254037,-51.15799632840345,Goiás
aparecida do rio negro,-9.950409822060305,-47.97527167504594,Tocantins
aparecida do taboado,-20.080651275371533,-51.10642297448528,Mato Grosso do Sul
aparecida doeste,-20.45510133757992,-50.88130731707086,São Paulo
aperibe,-21.625820347313585,-42.10482247378424,Rio de Janeiro
aperibé,-21.62591387155748,-42.105486188667456,Rio de Janeiro
apeu,-1.295252999999994,-47.978117999999995,Pará
apiaca,-21.153566062601172,-41.567118772204225,Espírito Santo
apiacas,-9.559467343178108,-57.39235920586494,Mato Grosso
apiacá,-21.15057398340369,-41.5709705731797,Espírito Santo
apiacás,-9.539548339767281,-57.39338749594591,Mato Grosso
apiai,-24.51030427642328,-48.843828618045386,São Paulo
apiaí,-24.51078035363957,-48.845100059912795,São Paulo
apicum-acu,-1.5321989889383978,-45.07954687627498,Maranhão
apiuna,-27.040098540929815,-49.38736340966762,Santa Catarina
apiúna,-27.036092704620092,-49.38846234523836,Santa Catarina
apodi,-5.6608569705782,-37.79745260951045,Rio Grande do Norte
apora,-11.665688918521814,-38.09323846103476,Bahia
apore,-18.963223077650238,-51.92693904530848,Goiás
aporá,-11.679041195321036,-38.12718919875406,Bahia
aporé,-18.96183552377371,-51.92694507718156,Goiás
apuarema,-13.856428388404744,-39.744409767080825,Bahia
apucarana,-23.554896617582095,-51.45635322819143,Paraná
apui,-7.197132487896773,-59.8880159214852,Amazonas
apuiares,-3.946895188563722,-39.43151108792288,Ceará
apuiarés,-3.9470552952321714,-39.431098675088016,Ceará
apuí,-7.196901671946424,-59.88933924287576,Amazonas
aquidaba,-10.284870765298363,-37.019145177910744,Sergipe
aquidaban,-23.584743000000003,-51.902743499999985,Paraná
aquidabã,-10.2842397486987,-37.0200328557081,Sergipe
aquidauana,-20.467619302049197,-55.783090950473515,Mato Grosso do Sul
