Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,Etat,nbVendeurs,latitudeVille,longitudeVille
birigui,79,187.32487179487177,25.839615384615392,4.333333333333333,São Paulo,10,-21.291485938836868,-50.33834102472449
cubatao,79,88.5573417721519,14.878354430379748,4.325,"","",-23.904395331212207,-46.42294141770256
sao roque,79,123.10679487179488,16.995641025641024,4.3924050632911396,São Paulo,7,-23.535588995083053,-47.12790159336947
itapetininga,78,158.86857142857144,23.578831168831172,4.115384615384615,São Paulo,2,-23.587600964830145,-48.04508320649602
araxa,78,172.84486842105264,26.457894736842103,3.782051282051282,Minas Gerais,2,-19.592272553654016,-46.93908706424618
araruama,77,223.36610389610388,25.933246753246756,3.6103896103896105,"","",-22.869309765672,-42.32125599263828
mogi mirim,76,118.56539473684212,15.356315789473687,4.215189873417722,São Paulo,3,-22.433009217820057,-46.96110466508603
ubatuba,76,117.11618421052631,18.45171052631579,3.896103896103896,São Paulo,1,-23.45292929995693,-45.0932194085285
mesquita,76,120.94631578947372,23.854868421052632,3.5789473684210527,Rio de Janeiro,3,-22.715621322925486,-43.40888749860325
catanduva,75,135.33106666666666,17.0728,3.986666666666667,São Paulo,10,-21.136969013718122,-48.97216028148744
tatui,75,155.21958904109593,19.196027397260277,4.293333333333333,São Paulo,3,-23.350759873377086,-47.84772228616046
lauro de freitas,75,119.39840000000001,30.875999999999998,3.736842105263158,Bahia,2,-12.884900331298656,-38.31467051487966
teofilo otoni,75,103.2564,24.565333333333335,4.24,"","",-17.861860826922978,-41.50636627107563
mairipora,75,121.16506666666668,16.7772,4.413333333333333,São Paulo,2,-23.330293289806153,-46.59743670114032
cacapava,74,137.29824324324323,21.521351351351353,4.16,"","",-23.102906919560247,-45.70562213632431
rio branco,74,189.7054054054054,41.736756756756755,3.945945945945946,Acre,1,-10.138126806211575,-67.51007453457812
jau,74,129.59671232876715,18.99945205479452,4.24,São Paulo,4,-22.291349194509294,-48.5575533816562
viamao,73,91.16575342465755,21.052465753424656,3.8493150684931505,Rio Grande do Sul,2,-30.076596374990327,-51.06469323950282
barretos,73,130.15027397260275,18.625616438356165,4.253333333333333,São Paulo,4,-20.559626185890153,-48.56778512061987
ilheus,72,123.70472222222224,29.323888888888884,3.7083333333333335,Bahia,1,-14.802192122988787,-39.03982389235803
cachoeirinha,72,129.1284722222222,23.306805555555556,4.0675675675675675,Rio Grande do Sul,3,-29.123611680967173,-50.55935785590111
toledo,71,143.62342857142858,23.35742857142857,4.084507042253521,Paraná,8,-24.68286188599204,-53.56888882806565
pinhais,69,130.02716417910446,21.41820895522388,4.173913043478261,São Paulo,1,-25.430260607564257,-49.178535324373165
pinhais,69,130.02716417910446,21.41820895522388,4.173913043478261,Paraná,7,-25.430260607564257,-49.178535324373165
aruja,69,110.35913043478261,16.049275362318838,4.185714285714286,São Paulo,3,-23.4007455367667,-46.32283993145812
